iter	Passed	Remaining
0	59	59138
1	59	29692
2	59	19875
3	60	14965
4	60	12014
5	60	10049
6	60	8644
7	61	7590
8	61	6768
9	61	6113
10	62	5574
11	62	5128
12	62	4749
13	62	4425
14	63	4142
15	63	3896
16	63	3684
17	64	3493
18	64	3319
19	64	3163
20	64	3021
21	65	2893
22	65	2777
23	65	2669
24	65	2571
25	66	2479
26	66	2395
27	66	2316
28	67	2243
29	67	2176
30	67	2115
31	67	2056
32	68	2002
33	68	1950
34	68	1899
35	69	1851
36	69	1806
37	69	1763
38	69	1722
39	70	1683
40	70	1647
41	70	1612
42	70	1578
43	71	1545
44	71	1515
45	71	1487
46	71	1459
47	72	1432
48	72	1406
49	72	1382
50	73	1358
51	73	1335
52	73	1313
53	73	1291
54	73	1270
55	74	1250
56	74	1231
57	74	1213
58	74	1195
59	75	1177
60	75	1161
61	75	1145
62	75	1129
63	76	1113
64	76	1098
65	76	1084
66	76	1070
67	76	1054
68	77	1040
69	77	1028
70	77	1016
71	77	1004
72	78	992
73	78	981
74	78	970
75	78	960
76	79	950
77	79	940
78	79	931
79	80	922
80	80	913
81	80	904
82	81	895
83	81	886
84	81	876
85	81	870
86	82	861
87	82	854
88	82	846
89	82	838
90	83	831
91	83	823
92	83	816
93	83	809
94	84	801
95	84	794
96	84	788
97	85	782
98	85	776
99	85	769
100	85	763
101	85	755
102	86	749
103	86	743
104	86	737
105	86	732
106	87	726
107	87	720
108	87	715
109	87	710
110	87	704
111	88	699
112	88	694
113	88	689
114	89	684
115	89	679
116	89	674
117	89	669
118	89	664
119	90	660
120	90	655
121	90	651
122	90	645
123	90	642
124	91	638
125	91	634
126	91	630
127	91	625
128	92	621
129	92	617
130	92	614
131	92	610
132	93	606
133	93	602
134	93	599
135	93	595
136	94	592
137	94	588
138	94	585
139	94	582
140	95	579
141	95	576
142	95	573
143	95	570
144	96	567
145	96	565
146	97	563
147	97	560
148	97	556
149	97	554
150	97	550
151	98	548
152	98	545
153	98	542
154	98	539
155	99	536
156	99	533
157	99	530
158	99	528
159	100	525
160	100	523
161	100	520
162	100	518
163	101	515
164	101	513
165	101	510
166	101	508
167	102	506
168	102	503
169	102	501
170	102	498
171	103	496
172	103	494
173	103	491
174	103	489
175	104	487
176	104	484
177	104	482
178	104	480
179	104	478
180	105	475
181	105	473
182	105	471
183	105	469
184	106	466
185	106	464
186	106	462
187	106	460
188	107	459
189	107	457
190	107	455
191	107	453
192	107	451
193	108	449
194	108	447
195	108	445
196	108	443
197	109	442
198	109	440
199	109	438
200	109	437
201	110	435
202	110	434
203	110	432
204	111	430
205	111	428
206	111	427
207	111	426
208	112	424
209	112	423
210	112	421
211	113	420
212	113	418
213	113	417
214	114	418
215	114	416
216	115	415
217	115	413
218	115	412
219	115	411
220	116	409
221	116	408
222	116	406
223	116	405
224	117	403
225	117	402
226	117	400
227	117	399
228	118	397
229	118	396
230	118	394
231	119	393
232	119	392
233	119	391
234	119	389
235	120	388
236	120	387
237	120	385
238	120	384
239	121	383
240	121	382
241	121	381
242	121	379
243	122	378
244	122	377
245	122	376
246	122	374
247	123	373
248	123	372
249	123	370
250	123	369
251	124	368
252	124	367
253	124	366
254	124	364
255	125	363
256	125	362
257	125	361
258	126	360
259	126	359
260	126	358
261	126	357
262	127	355
263	127	354
264	127	353
265	127	352
266	128	351
267	128	350
268	129	351
269	129	350
270	130	349
271	130	348
272	130	347
273	130	346
274	131	345
275	131	344
276	131	343
277	131	342
278	132	341
279	132	340
280	132	339
281	132	338
282	133	337
283	133	336
284	133	335
285	133	334
286	134	333
287	134	332
288	134	331
289	134	330
290	135	329
291	135	328
292	135	327
293	135	326
294	136	325
295	136	324
296	136	323
297	136	322
298	136	321
299	137	320
300	137	319
301	137	318
302	137	317
303	138	316
304	138	315
305	138	314
306	139	313
307	139	312
308	139	312
309	139	311
310	140	310
311	140	309
312	140	308
313	140	307
314	141	306
315	141	305
316	141	305
317	141	304
318	142	303
319	142	303
320	142	302
321	143	301
322	143	300
323	143	299
324	143	298
325	144	298
326	144	297
327	144	296
328	144	295
329	145	294
330	145	293
331	145	292
332	145	291
333	146	291
334	146	290
335	146	289
336	146	289
337	147	288
338	147	287
339	147	286
340	148	286
341	148	285
342	148	284
343	148	283
344	149	282
345	149	282
346	149	281
347	149	280
348	150	280
349	150	279
350	150	278
351	151	278
352	151	277
353	151	276
354	151	275
355	152	274
356	152	274
357	152	273
358	152	272
359	152	271
360	153	271
361	153	270
362	153	269
363	153	268
364	154	268
365	154	267
366	154	266
367	155	266
368	155	265
369	155	264
370	155	264
371	156	263
372	156	262
373	156	262
374	156	261
375	157	260
376	157	260
377	157	259
378	157	258
379	158	258
380	159	258
381	159	257
382	159	256
383	159	256
384	160	255
385	160	254
386	160	254
387	160	253
388	161	253
389	161	252
390	161	251
391	161	251
392	162	250
393	162	249
394	162	249
395	163	249
396	163	248
397	164	248
398	164	247
399	164	246
400	164	246
401	165	245
402	165	244
403	165	244
404	165	243
405	166	242
406	166	242
407	166	241
408	166	240
409	166	240
410	167	239
411	167	238
412	167	238
413	167	237
414	168	236
415	168	236
416	168	235
417	168	234
418	168	234
419	169	233
420	169	232
421	169	232
422	169	231
423	170	231
424	170	230
425	170	229
426	170	229
427	171	228
428	171	227
429	171	227
430	171	226
431	171	226
432	172	225
433	172	225
434	172	224
435	173	223
436	173	223
437	173	222
438	173	222
439	174	221
440	174	220
441	174	220
442	174	219
443	175	219
444	175	218
445	175	218
446	176	217
447	176	217
448	176	216
449	177	216
450	177	215
451	177	215
452	177	214
453	178	214
454	178	213
455	178	212
456	178	212
457	179	212
458	179	211
459	179	210
460	179	210
461	180	209
462	180	209
463	180	208
464	180	208
465	181	207
466	181	207
467	181	206
468	182	206
469	182	206
470	183	205
471	183	205
472	183	204
473	184	204
474	184	203
475	184	203
476	184	202
477	185	202
478	185	201
479	185	201
480	185	200
481	186	199
482	186	199
483	186	198
484	186	198
485	187	197
486	187	197
487	187	196
488	187	196
489	188	195
490	188	195
491	188	194
492	188	194
493	189	193
494	189	193
495	189	192
496	189	192
497	190	191
498	190	191
499	190	190
500	190	190
501	191	189
502	191	189
503	191	188
504	191	188
505	192	187
506	192	187
507	192	186
508	192	186
509	193	185
510	193	185
511	193	184
512	193	184
513	194	183
514	194	183
515	194	182
516	195	182
517	195	181
518	195	181
519	195	180
520	196	180
521	196	179
522	196	179
523	196	178
524	197	178
525	197	178
526	202	182
527	203	181
528	203	181
529	203	180
530	204	180
531	204	180
532	204	179
533	205	179
534	205	178
535	205	178
536	205	177
537	215	185
538	216	185
539	216	184
540	217	184
541	217	183
542	217	183
543	218	182
544	218	182
545	218	181
546	219	181
