iter	Passed	Remaining
0	61	61036
1	61	30667
2	61	20519
3	62	15440
4	62	12390
5	62	10357
6	62	8905
7	63	7835
8	63	6985
9	63	6315
10	64	5769
11	64	5306
12	64	4913
13	65	4577
14	65	4286
15	65	4031
16	65	3805
17	66	3622
18	66	3446
19	67	3284
20	67	3136
21	67	3002
22	67	2879
23	68	2767
24	68	2665
25	68	2569
26	68	2481
27	69	2398
28	69	2322
29	69	2251
30	69	2184
31	70	2121
32	70	2062
33	70	2007
34	70	1955
35	71	1905
36	71	1858
37	71	1814
38	71	1772
39	72	1732
40	72	1694
41	72	1657
42	72	1623
43	73	1591
44	73	1560
45	73	1529
46	73	1500
47	74	1472
48	74	1445
49	74	1420
50	74	1395
51	75	1372
52	75	1349
53	75	1327
54	76	1307
55	76	1286
56	76	1266
57	76	1247
58	77	1229
59	77	1211
60	77	1193
61	77	1176
62	78	1160
63	78	1144
64	78	1131
65	79	1118
66	79	1105
67	79	1091
68	79	1077
69	80	1064
70	80	1054
71	80	1042
72	81	1038
73	82	1027
74	82	1016
75	82	1005
76	82	994
77	83	983
78	83	973
79	83	962
80	83	952
81	84	941
82	84	930
83	84	921
84	84	911
85	84	902
86	85	893
87	85	885
88	85	876
89	85	868
90	86	860
91	86	852
92	86	844
93	86	837
94	87	829
95	87	822
96	87	815
97	87	808
98	88	801
99	88	794
100	88	787
101	88	781
102	89	775
103	89	768
104	89	762
105	89	756
106	89	750
107	90	744
108	90	739
109	90	733
110	90	728
111	91	722
112	91	717
113	91	712
114	91	707
115	92	701
116	92	696
117	92	691
118	92	686
119	93	682
120	93	678
121	93	673
122	93	668
123	94	666
124	94	662
125	94	658
126	95	653
127	95	650
128	95	647
129	96	643
130	96	638
131	96	634
132	96	631
133	97	627
134	97	623
135	97	619
136	97	615
137	97	611
138	98	608
139	98	604
140	98	601
141	98	597
142	99	593
143	99	590
144	99	586
145	99	583
146	99	580
147	100	576
148	100	573
149	100	570
150	100	567
151	101	564
152	101	561
153	101	558
154	101	555
155	102	552
156	102	550
157	102	547
158	102	544
159	103	541
160	103	538
161	103	535
162	103	532
163	103	529
164	104	527
165	104	524
166	104	522
167	104	519
168	105	517
169	105	514
170	105	511
171	105	509
172	106	507
173	106	504
174	106	502
175	106	500
176	107	498
177	107	495
178	107	493
179	107	491
180	108	489
181	108	487
182	108	484
183	108	483
184	109	480
185	109	478
186	109	477
187	110	475
188	110	473
189	110	471
190	110	469
191	111	467
192	111	465
193	111	463
194	111	461
195	111	459
196	112	457
197	112	455
198	112	453
199	112	451
200	113	449
201	113	448
202	113	446
203	113	444
204	114	442
205	114	441
206	114	439
207	114	437
208	115	435
209	115	434
210	115	432
211	115	431
212	116	429
213	116	427
214	116	426
215	117	424
216	117	423
217	117	421
218	117	420
219	118	419
220	118	417
221	118	416
222	118	414
223	119	413
224	119	411
225	119	410
226	120	408
227	120	407
228	120	405
229	120	404
230	120	402
231	121	401
232	121	399
233	121	398
234	121	396
235	122	395
236	122	394
237	122	392
238	122	391
239	123	389
240	123	388
241	123	387
242	123	385
243	124	384
244	124	383
245	124	381
246	124	380
247	125	379
248	125	377
249	125	376
250	125	375
251	126	374
252	126	372
253	126	371
254	126	370
255	127	369
256	127	368
257	127	366
258	127	365
259	128	364
260	128	363
261	128	362
262	128	360
263	129	359
264	129	358
265	129	357
266	129	356
267	130	355
268	130	354
269	130	353
270	130	351
271	131	350
272	131	349
273	131	348
274	131	347
275	132	346
276	132	345
277	132	344
278	132	343
279	133	342
280	133	341
281	133	340
282	133	338
283	134	337
284	134	337
285	134	335
286	134	335
287	135	334
288	135	333
289	135	331
290	135	330
291	136	329
292	136	328
293	136	327
294	136	326
295	137	325
296	137	325
297	137	324
298	137	323
299	138	322
300	138	321
301	138	320
302	138	319
303	139	318
304	139	317
305	139	316
306	139	315
307	140	314
308	140	313
309	140	312
310	140	311
311	141	311
312	141	310
313	141	309
314	141	308
315	142	307
316	142	306
317	142	305
318	142	304
319	143	303
320	143	302
321	143	302
322	143	301
323	143	300
